Problema                 n   K  m   iter |LRC|  z              S                    CPU             
test/max_div_15_2.txt    15  2  2   10   2      11.859216      6 8                  0.018000 ms
test/max_div_15_2.txt    15  2  2   10   3      11.859216      6 8                  0.016000 ms
test/max_div_15_2.txt    15  2  2   20   2      11.859216      6 8                  0.028000 ms
test/max_div_15_2.txt    15  2  2   20   3      11.859216      6 8                  0.029000 ms
test/max_div_15_2.txt    15  2  3   10   2      25.726200      3 6 8                0.022000 ms
test/max_div_15_2.txt    15  2  3   10   3      26.013630      4 6 8                0.023000 ms
test/max_div_15_2.txt    15  2  3   20   2      25.726200      3 6 8                0.039000 ms
test/max_div_15_2.txt    15  2  3   20   3      25.726200      3 6 8                0.043000 ms
test/max_div_15_2.txt    15  2  4   10   2      48.247841      1 3 6 10             0.027000 ms
test/max_div_15_2.txt    15  2  4   10   3      49.546158      3 5 6 8              0.029000 ms
test/max_div_15_2.txt    15  2  4   20   2      49.010666      3 6 8 14             0.052000 ms
test/max_div_15_2.txt    15  2  4   20   3      49.546158      3 5 6 8              0.056000 ms
test/max_div_15_2.txt    15  2  5   10   2      73.561897      1 3 6 8 10           0.033000 ms
test/max_div_15_2.txt    15  2  5   10   3      77.787033      0 1 6 8 14           0.037000 ms
test/max_div_15_2.txt    15  2  5   20   2      77.787033      0 1 6 8 14           0.064000 ms
test/max_div_15_2.txt    15  2  5   20   3      77.787033      0 1 6 8 14           0.071000 ms

test/max_div_15_3.txt    15  3  2   10   2      13.273240      8 11                 0.019000 ms
test/max_div_15_3.txt    15  3  2   10   3      13.273240      8 11                 0.020000 ms
test/max_div_15_3.txt    15  3  2   20   2      13.273240      8 11                 0.034000 ms
test/max_div_15_3.txt    15  3  2   20   3      13.273240      8 11                 0.037000 ms
test/max_div_15_3.txt    15  3  3   10   2      31.868526      4 6 11               0.026000 ms
test/max_div_15_3.txt    15  3  3   10   3      30.324089      4 8 11               0.028000 ms
test/max_div_15_3.txt    15  3  3   20   2      31.868526      4 6 11               0.052000 ms
test/max_div_15_3.txt    15  3  3   20   3      30.551760      8 10 11              0.053000 ms
test/max_div_15_3.txt    15  3  4   10   2      59.763760      4 8 10 11            0.034000 ms
test/max_div_15_3.txt    15  3  4   10   3      59.763756      4 8 10 11            0.102000 ms
test/max_div_15_3.txt    15  3  4   20   2      59.763760      4 8 10 11            0.083000 ms
test/max_div_15_3.txt    15  3  4   20   3      59.742851      3 4 6 11             0.071000 ms
test/max_div_15_3.txt    15  3  5   10   2      94.748718      4 8 10 11 13         0.043000 ms
test/max_div_15_3.txt    15  3  5   10   3      94.748718      4 8 10 11 13         0.068000 ms
test/max_div_15_3.txt    15  3  5   20   2      94.748718      4 8 10 11 13         0.083000 ms
test/max_div_15_3.txt    15  3  5   20   3      94.748718      4 8 10 11 13         0.116000 ms

test/max_div_20_2.txt    20  2  2   10   2      8.510329       17 18                0.040000 ms
test/max_div_20_2.txt    20  2  2   10   3      8.510329       17 18                0.022000 ms
test/max_div_20_2.txt    20  2  2   20   2      8.510329       17 18                0.036000 ms
test/max_div_20_2.txt    20  2  2   20   3      8.510329       17 18                0.039000 ms
test/max_div_20_2.txt    20  2  3   10   2      21.996086      8 17 18              0.046000 ms
test/max_div_20_2.txt    20  2  3   10   3      21.996086      8 17 18              0.032000 ms
test/max_div_20_2.txt    20  2  3   20   2      21.996086      8 17 18              0.056000 ms
