Problema                 n   K  m   z              S                    CPU             
test/max_div_15_2.txt    15  2  2   11.859216      6 8                  0.003000 ms
test/max_div_15_2.txt    15  2  3   25.726200      3 6 8                0.003000 ms
test/max_div_15_2.txt    15  2  4   48.413930      3 6 8 10             0.003000 ms
test/max_div_15_2.txt    15  2  5   73.561897      1 3 6 8 10           0.004000 ms

test/max_div_15_3.txt    15  3  2   13.273240      8 11                 0.002000 ms
test/max_div_15_3.txt    15  3  3   30.324088      4 8 11               0.003000 ms
test/max_div_15_3.txt    15  3  4   59.763758      4 8 10 11            0.005000 ms
test/max_div_15_3.txt    15  3  5   94.748717      4 8 10 11 13         0.005000 ms

test/max_div_20_2.txt    20  2  2   8.510329       17 18                0.003000 ms
test/max_div_20_2.txt    20  2  3   21.996087      8 17 18              0.004000 ms
test/max_div_20_2.txt    20  2  4   39.568230      2 8 17 18            0.004000 ms
test/max_div_20_2.txt    20  2  5   61.239291      2 8 12 17 18         0.005000 ms

test/max_div_20_3.txt    20  3  2   11.800308      12 13                0.004000 ms
test/max_div_20_3.txt    20  3  3   30.872658      7 12 13              0.004000 ms
test/max_div_20_3.txt    20  3  4   56.534726      2 7 12 13            0.005000 ms
test/max_div_20_3.txt    20  3  5   92.829743      2 7 12 13 16         0.006000 ms

test/max_div_30_2.txt    30  2  2   11.657144      8 27                 0.003000 ms
test/max_div_30_2.txt    30  2  3   28.944299      1 8 27               0.004000 ms
test/max_div_30_2.txt    30  2  4   52.771171      1 8 10 27            0.006000 ms
test/max_div_30_2.txt    30  2  5   80.910239      1 8 10 12 27         0.007000 ms

test/max_div_30_3.txt    30  3  2   13.073737      6 16                 0.004000 ms
test/max_div_30_3.txt    30  3  3   33.842259      6 16 23              0.006000 ms
test/max_div_30_3.txt    30  3  4   63.518415      6 13 16 23           0.008000 ms
test/max_div_30_3.txt    30  3  5   99.508839      6 13 14 16 23        0.027000 ms

