Problema                 n   K  m   iter |LRC|  z              S                    CPU             
test/max_div_15_2.txt    15  2  2   10   2      11.859216      6 8                  0.030000 ms
test/max_div_15_2.txt    15  2  2   10   3      11.859216      6 8                  0.031000 ms
test/max_div_15_2.txt    15  2  2   20   2      11.859216      6 8                  0.043000 ms
test/max_div_15_2.txt    15  2  2   20   3      11.859216      6 8                  0.047000 ms
test/max_div_15_2.txt    15  2  3   10   2      27.372700      0 6 8                0.091000 ms
test/max_div_15_2.txt    15  2  3   10   3      27.372700      0 6 8                0.091000 ms
test/max_div_15_2.txt    15  2  3   20   2      27.372700      0 6 8                0.090000 ms
test/max_div_15_2.txt    15  2  3   20   3      27.372700      0 6 8                0.093000 ms
test/max_div_15_2.txt    15  2  4   10   2      49.826780      0 5 6 8              0.132000 ms
test/max_div_15_2.txt    15  2  4   10   3      49.826780      0 5 6 8              0.102000 ms
test/max_div_15_2.txt    15  2  4   20   2      49.826780      0 5 6 8              0.162000 ms
test/max_div_15_2.txt    15  2  4   20   3      49.826780      0 5 6 8              0.174000 ms
test/max_div_15_2.txt    15  2  5   10   2      79.129529      0 3 5 6 8            0.176000 ms
test/max_div_15_2.txt    15  2  5   10   3      79.129529      0 3 5 6 8            0.180000 ms
test/max_div_15_2.txt    15  2  5   20   2      79.129529      0 3 5 6 8            0.213000 ms
test/max_div_15_2.txt    15  2  5   20   3      79.129529      0 3 5 6 8            0.219000 ms

test/max_div_15_3.txt    15  3  2   10   2      13.273240      8 11                 0.036000 ms
test/max_div_15_3.txt    15  3  2   10   3      13.273240      8 11                 0.037000 ms
test/max_div_15_3.txt    15  3  2   20   2      13.273240      8 11                 0.053000 ms
test/max_div_15_3.txt    15  3  2   20   3      13.273240      8 11                 0.055000 ms
test/max_div_15_3.txt    15  3  3   10   2      31.868526      4 6 11               0.057000 ms
test/max_div_15_3.txt    15  3  3   10   3      31.868526      4 6 11               0.087000 ms
test/max_div_15_3.txt    15  3  3   20   2      31.868526      4 6 11               0.091000 ms
test/max_div_15_3.txt    15  3  3   20   3      31.868526      4 6 11               0.095000 ms
test/max_div_15_3.txt    15  3  4   10   2      59.763758      4 8 10 11            0.088000 ms
test/max_div_15_3.txt    15  3  4   10   3      59.763758      4 8 10 11            0.135000 ms
test/max_div_15_3.txt    15  3  4   20   2      59.763758      4 8 10 11            0.126000 ms
test/max_div_15_3.txt    15  3  4   20   3      59.763758      4 8 10 11            0.133000 ms
test/max_div_15_3.txt    15  3  5   10   2      96.085829      3 4 8 11 13          0.176000 ms
test/max_div_15_3.txt    15  3  5   10   3      96.085829      3 4 8 11 13          0.239000 ms
test/max_div_15_3.txt    15  3  5   20   2      96.085829      3 4 8 11 13          0.228000 ms
test/max_div_15_3.txt    15  3  5   20   3      96.085829      3 4 8 11 13          0.234000 ms

test/max_div_20_2.txt    20  2  2   10   2      8.510329       17 18                0.044000 ms
test/max_div_20_2.txt    20  2  2   10   3      8.510329       17 18                0.045000 ms
test/max_div_20_2.txt    20  2  2   20   2      8.510329       17 18                0.063000 ms
test/max_div_20_2.txt    20  2  2   20   3      8.510329       17 18                0.066000 ms
test/max_div_20_2.txt    20  2  3   10   2      21.996087      8 17 18              0.071000 ms
test/max_div_20_2.txt    20  2  3   10   3      21.996087      8 17 18              0.072000 ms
test/max_div_20_2.txt    20  2  3   20   2      21.996087      8 17 18              0.100000 ms
test/max_div_20_2.txt    20  2  3   20   3      21.996087      8 17 18              0.106000 ms
test/max_div_20_2.txt    20  2  4   10   2      40.002258      1 2 8 18             0.213000 ms
test/max_div_20_2.txt    20  2  4   10   3      40.002258      1 2 8 18             0.217000 ms
test/max_div_20_2.txt    20  2  4   20   2      40.002258      1 2 8 18             0.144000 ms
test/max_div_20_2.txt    20  2  4   20   3      40.002258      1 2 8 18             0.152000 ms
test/max_div_20_2.txt    20  2  5   10   2      63.651678      1 8 13 17 18         0.137000 ms
test/max_div_20_2.txt    20  2  5   10   3      63.651678      1 8 13 17 18         0.218000 ms
test/max_div_20_2.txt    20  2  5   20   2      63.651678      1 8 13 17 18         0.189000 ms
test/max_div_20_2.txt    20  2  5   20   3      63.651678      1 8 13 17 18         0.199000 ms

test/max_div_20_3.txt    20  3  2   10   2      11.800308      12 13                0.053000 ms
test/max_div_20_3.txt    20  3  2   10   3      11.590950      2 16                 0.054000 ms
test/max_div_20_3.txt    20  3  2   20   2      11.800308      12 13                0.078000 ms
test/max_div_20_3.txt    20  3  2   20   3      11.800308      12 13                0.079000 ms
test/max_div_20_3.txt    20  3  3   10   2      30.872658      7 12 13              0.085000 ms
test/max_div_20_3.txt    20  3  3   10   3      30.872658      7 12 13              0.087000 ms
test/max_div_20_3.txt    20  3  3   20   2      30.872658      7 12 13              0.124000 ms
test/max_div_20_3.txt    20  3  3   20   3      30.872658      7 12 13              0.131000 ms
test/max_div_20_3.txt    20  3  4   10   2      56.690310      2 12 13 16           0.260000 ms
test/max_div_20_3.txt    20  3  4   10   3      56.690310      2 12 13 16           0.196000 ms
test/max_div_20_3.txt    20  3  4   20   2      56.690310      2 12 13 16           0.246000 ms
test/max_div_20_3.txt    20  3  4   20   3      56.690310      2 12 13 16           0.187000 ms
test/max_div_20_3.txt    20  3  5   10   2      92.829743      2 7 12 13 16         0.261000 ms
test/max_div_20_3.txt    20  3  5   10   3      92.829743      2 7 12 13 16         0.268000 ms
test/max_div_20_3.txt    20  3  5   20   2      92.829743      2 7 12 13 16         0.234000 ms
test/max_div_20_3.txt    20  3  5   20   3      92.829743      2 7 12 13 16         0.243000 ms

test/max_div_30_2.txt    30  2  2   10   2      11.657144      8 27                 0.067000 ms
test/max_div_30_2.txt    30  2  2   10   3      11.657144      8 27                 0.070000 ms
test/max_div_30_2.txt    30  2  2   20   2      11.657144      8 27                 0.097000 ms
test/max_div_30_2.txt    30  2  2   20   3      11.657144      8 27                 0.100000 ms
test/max_div_30_2.txt    30  2  3   10   2      28.944299      1 8 27               0.111000 ms
test/max_div_30_2.txt    30  2  3   10   3      28.944299      1 8 27               0.180000 ms
test/max_div_30_2.txt    30  2  3   20   2      28.944299      1 8 27               0.155000 ms
test/max_div_30_2.txt    30  2  3   20   3      28.944299      1 8 27               0.163000 ms
test/max_div_30_2.txt    30  2  4   10   2      52.771171      1 8 10 27            0.160000 ms
test/max_div_30_2.txt    30  2  4   10   3      52.771171      1 8 10 27            0.290000 ms
test/max_div_30_2.txt    30  2  4   20   2      52.771171      1 8 10 27            0.239000 ms
test/max_div_30_2.txt    30  2  4   20   3      52.771171      1 8 10 27            0.251000 ms
test/max_div_30_2.txt    30  2  5   10   2      80.910239      1 8 10 12 27         0.384000 ms
test/max_div_30_2.txt    30  2  5   10   3      80.910239      1 8 10 12 27         0.540000 ms
test/max_div_30_2.txt    30  2  5   20   2      80.910239      1 8 10 12 27         0.465000 ms
test/max_div_30_2.txt    30  2  5   20   3      80.910239      1 8 10 12 27         0.333000 ms

test/max_div_30_3.txt    30  3  2   10   2      13.073737      6 16                 0.087000 ms
test/max_div_30_3.txt    30  3  2   10   3      13.073737      6 16                 0.091000 ms
test/max_div_30_3.txt    30  3  2   20   2      13.073737      6 16                 0.127000 ms
test/max_div_30_3.txt    30  3  2   20   3      13.073737      6 16                 0.133000 ms
test/max_div_30_3.txt 
