Problema                 n   K  m   iter tabutenure  z              S                    CPU             
test/max_div_15_2.txt    15  2  2   10   2           11.859216      6 8                  0.184000 ms
test/max_div_15_2.txt    15  2  2   10   3           11.859216      6 8                  0.175000 ms
test/max_div_15_2.txt    15  2  2   20   2           11.859216      6 8                  0.347000 ms
test/max_div_15_2.txt    15  2  2   20   3           11.859216      6 8                  0.372000 ms
test/max_div_15_2.txt    15  2  3   10   2           27.372700      0 6 8                0.338000 ms
test/max_div_15_2.txt    15  2  3   10   3           27.372700      0 6 8                0.336000 ms
test/max_div_15_2.txt    15  2  3   20   2           27.372700      0 6 8                0.658000 ms
test/max_div_15_2.txt    15  2  3   20   3           27.372700      0 6 8                0.661000 ms
test/max_div_15_2.txt    15  2  4   10   2           49.826780      0 5 6 8              0.496000 ms
test/max_div_15_2.txt    15  2  4   10   3           49.826780      0 5 6 8              0.495000 ms
test/max_div_15_2.txt    15  2  4   20   2           49.826780      0 5 6 8              0.976000 ms
test/max_div_15_2.txt    15  2  4   20   3           49.826780      0 5 6 8              0.985000 ms
test/max_div_15_2.txt    15  2  5   10   2           79.129529      0 3 5 6 8            0.649000 ms
test/max_div_15_2.txt    15  2  5   10   3           79.129529      0 3 5 6 8            0.643000 ms
test/max_div_15_2.txt    15  2  5   20   2           79.129529      0 3 5 6 8            1.279000 ms
test/max_div_15_2.txt    15  2  5   20   3           79.129529      0 3 5 6 8            1.325000 ms

test/max_div_15_3.txt    15  3  2   10   2           13.273240      8 11                 0.255000 ms
test/max_div_15_3.txt    15  3  2   10   3           13.273240      8 11                 0.246000 ms
test/max_div_15_3.txt    15  3  2   20   2           13.273240      8 11                 0.483000 ms
test/max_div_15_3.txt    15  3  2   20   3           13.273240      8 11                 0.485000 ms
test/max_div_15_3.txt    15  3  3   10   2           31.868526      4 6 11               0.446000 ms
test/max_div_15_3.txt    15  3  3   10   3           31.868526      4 6 11               0.443000 ms
test/max_div_15_3.txt    15  3  3   20   2           31.868526      4 6 11               0.867000 ms
test/max_div_15_3.txt    15  3  3   20   3           31.868526      4 6 11               0.867000 ms
test/max_div_15_3.txt    15  3  4   10   2           59.763758      4 8 10 11            0.673000 ms
test/max_div_15_3.txt    15  3  4   10   3           59.763758      4 8 10 11            0.665000 ms
